Title,Author,Description,Theme,Genre
Short &amp; Tall Tales: Moose County Legends Collected by James Mackintosh Qwilleran,Lilian Jackson Braun,"Fictional columnist James Qwilleran presents a collection of stories that spotlights the colorful world of Moose County and its residents in such legends as ""The Secret of the Blacksmith's Wife"" and ""The Trevelyan Curse.""",Cozy Mysteries,Action & Psychological Thrillers
Lord of the Flies,William Gerald Golding,"Golding’s iconic 1954 novel, now with a new foreword by Lois Lowry, remains one of the greatest books ever written for young adults and an unforgettable classic for readers of any age. This edition includes a new Suggestions for Further Reading by Jennifer Buehler. At the dawn of the next world war, a plane crashes on an uncharted island, stranding a group of schoolboys. At first, with no adult supervision, their freedom is something to celebrate. This far from civilization they can do anything they want. Anything. But as order collapses, as strange howls echo in the night, as terror begins its reign, the hope of adventure seems as far removed from reality as the hope of being rescued.",Epic Fantasy,Fantasy Literature
Stephen King's Danse Macabre,Stephen King,"Information on the horror phenomenon including books, movies, radio, and T.V.",Espionage Thriller,Action & Psychological Thrillers
The Cardinal of the Kremlin (Jack Ryan Novels),Tom Clancy,"As the Star Wars race between the Soviet Union and United States continues to escalate, Colonel Mikkail Filtov, America's agent in the Kremlin, is about to be betrayed, and only Jack Ryan can save Filtov--and world peace. Reissue.",Espionage Thriller,Action & Psychological Thrillers
The Hunt for Red October (Jack Ryan Novels),Tom Clancy,Both the Americans and the Soviets commence an intense naval search when a trusted and skilled Soviet naval officer defects--using the USSR's most valuable nuclear submarine as his escape vehicle,Galactic Adventures,Science Fiction
Keepsake Crimes (First Scrapbooking Mystery),Laura Childs,"From the author of the popular Tea Shop Mysteries comes the first in a cozy crafting mystery series! New Orleans scrapbooking shop owner Carmela Bertrand delights her customers with her stunning arrangements of their scrapbooks. But among her clients’ keepsakes she finds a tip of her own—about a murder... Business is booming and life is cozy for Carmela at her scrapbooking shop, Memory Mine. But when one of the city’s elite dies during Mardi Gras, the police name Carmela’s estranged husband as their number one suspect. Although Carmela hasn’t forgotten how he scrapped their marriage, she doesn’t think he is cut out to be a killer. And if Shamus is being framed, Carmela might be the only one who can find the pattern and solve the case in time...",Murder Mystery,Crime & Detective Fiction
The Partner,John Grisham,"They hired him. They trusted him. Now they don't want justice--they want revenge.... For four years, Patrick had often wondered how it would feel if they caught him. Now he was terror-stricken. Practically naked and strapped down like an animal, he knew the next few hours would be insufferable.... Once he was a well-liked, well-paid young partner in a thriving Mississippi law firm. Then Patrick Lanigan stole ninety million dollars from his own firm--and ran for his life. For four years, he evaded men who were rich, powerful, and would stop at nothing to find him. Then, inevitably, on the edge of the Brazilian jungle, they finally tracked him down. Now Patrick is coming home. And in the Mississippi city where it all began, an extraordinary trial is about to begin. As prosecutors circle like sharks, as Patrick's lawyer prepares his defense, as Patrick's lover prays for his deliverance and his former partners wait for their revenge, another story is about to emerge. Because Patrick Lanigan, the most reviled white-collar criminal of his time, knows something that no one else in the world knows. He knows the truth....",Crime Thrillers and Detective Drama,Crime & Detective Fiction
Unfit to Practice,Perri O'Shaughnessy,"It’s the moment every attorney fears most...one careless moment that threatens careers, reputations, lives. For Nina Reilly, it will change everything—and ignite a case where her own clients are witnesses against her...and where the defendant is Nina herself. As an attorney championing desperate people, Nina Reilly has skirted the edges of legal ethics in pursuit of a just result, but she has never before broken the rule of absolute protection of her clients’ secrets. One September night in Lake Tahoe when her unlocked truck is stolen, her life changes forever. Gone are her most sensitive case files, complete with the sometimes brutally candid notes she took while interviewing her clients. It’s every attorney’s nightmare. And now the worst has happened: The secrets are being revealed, one by one, in ways that will cause the greatest harm. Nina’s own clients complain to the State Bar of California, and suddenly Nina is fighting for her license and her livelihood in a legal proceeding that may ultimately lead her to disbarment. In desperation, Nina turns to her ex-husband, celebrated San Francisco lawyer Jack McIntyre, to represent her. And as personal tensions erupt between McIntyre and Nina’s sometime boyfriend, private investigator Paul van Wagoner...as reputations are ruined and people begin to die...a chilling pattern of rage and revenge comes into focus. Someone is bent on destroying the lives of Nina’s clients and, in the process, Nina Reilly.",Crime Thrillers and Detective Drama,Crime & Detective Fiction
Gone for Good,HARLAN COBEN,"Investigating his girlfriend's mysterious disappearance, Will Klein learns that she is somehow tied to his brother's death and becomes increasingly disturbed when he realizes that everyone he loves is harboring dark secrets. By the author of Tell No One.",Crime Thrillers and Detective Drama,Crime & Detective Fiction
Freckle Juice,JUDY BLUME,"Nicky has freckles--they cover his face, his ears, and the whole back of his neck. Sitting behind him in class, Andrew once counted eighty-six of them, and that was just a start! If Andrew had freckles like Nicky, his mother would never know if his neck was dirty. One day after school, Andrew works up enough courage to ask Nicky where he got his freckles. When know-it-all Sharon overhears, she offers Andrew her secret freckle juice recipe--if he pays. Andrew is desperate and feels it's worth it. At home he carefully mixes the strange combination of ingredients. Then the unexpected happens...",Relationships and Family Dynamics,Romance & Relationships
The Once and Future King,T. H. White,"T. H. White’s masterful retelling of the saga of King Arthur is a fantasy classic as legendary as Excalibur and Camelot, and a poignant story of adventure, romance, and magic that has enchanted readers for generations. Once upon a time, a young boy called “Wart” was tutored by a magician named Merlyn in preparation for a future he couldn’t possibly imagine. A future in which he would ally himself with the greatest knights, love a legendary queen and unite a country dedicated to chivalrous values. A future that would see him crowned and known for all time as Arthur, King of the Britons. During Arthur’s reign, the kingdom of Camelot was founded to cast enlightenment on the Dark Ages, while the knights of the Round Table embarked on many a noble quest. But Merlyn foresaw the treachery that awaited his liege: the forbidden love between Queen Guenever and Lancelot, the wicked plots of Arthur’s half-sister Morgause and the hatred she fostered in Mordred that would bring an end to the king’s dreams for Britain—and to the king himself. “[The Once and Future King] mingles wisdom, wonderful, laugh-out-loud humor and deep sorrow—while telling one of the great tales of the Western world.”—Guy Gavriel Kay",Arthurian Legends and Magic,Fantasy Literature
